00111-00019	00111	2018	7	10	6804	\u6d25\u8d34\u53d8\u5316
00111-00053	00111	2025	12	10	6857	\u804c\u52a1\u53d8\u5316
044-00100	044	2021	6	03	6458	\u804c\u52a1\u53d8\u5316
00119-00041	00119	2024	10	07	3889	\u65b0\u8fdb\u5de5\u8d44
00806-00868	00806	2024	11	10	2768	\u89c1\u4e60\u5de5\u8d44
00806-00868	00806	2025	11	10	3614	\u8f6c\u6b63\u5b9a\u7ea7
00806-00937	00806	2025	1	10	4041	\u8c03\u5165\u5b9a\u8d44
001-00260	001	2022	1	01	4004	\u8f6c\u4e1a\u5b9a\u8d44
0142202-00019	0142202	2020	1	07	3521	\u9000\u4f0d\u5b9a\u8d44
041-00210	041	2024	1	23	3958	\u5b66\u5386\u53d8\u5316
00122-00006	00122	2022	7	07	3315	\u5b66\u5386\u53d8\u5316
00801-00025	00801	2017	1	10	5244	\u6559\u62a4\u6d25\u8d34
00105-00008	00105	2025	1	07	5703	\u6b63\u5e38\u6863\u6b21
024-00042	024	2024	8	21	9261	\u8b66\u8854\u53d8\u5316
024-00415	024	2023	3	21	6103	\u8b66\u5458\u5957\u6539
00919-00036	00919	2024	10	23	6491	\u804c\u7ea7\u5957\u6539
025-00019	025	2024	12	23	7755	\u804c\u7ea7\u664b\u5347
044-00318	044	2023	9	03	5893	\u6cd5\u68c0\u5957\u6539
044-00329	044	2006	12	01	1166	\u6cd5\u5b98\u7b49\u7ea7
001-00055	001	2006	7	01	1334	2006\u5957\u6539
001-00291	001	2025	1	01	6415	\u964d\u8d44\u5904\u5206
00806-00089	00806	2024	10	10	7840	\u5956\u52b1\u664b\u5347
02406-00058	02406	2023	1	21	5254	\u5176\u5b83\u60c5\u51b5
